request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"d194c763-8a79-417d-952f-5c355a004e00",GET,/,"debug=true&locale=en",,302,,,,28816258671700,28816413728100,28816422143400
"93c86c3d-99d2-44eb-91c5-5bbcd62f0c84",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=722,,28816464941700,28816488670400,28827045602400
"5bfbdce1-91d3-4d1c-b943-4eec1c16e52a",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,28827388946000,28827411741400,28827415070500
"ef1e5adc-8f7a-4f35-9503-010d0ffbe1a8",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,28827440960600,28827447748600,28827450656100
"362fb963-7a0d-49c2-a857-fc137814da0c",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,28827478057300,28827483912800,28827486578900
"67e6cd4f-201b-4898-bd54-07f68ab75529",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,28827504382800,28827510684300,28827513306500
"5fba2044-feab-45d3-bb07-3215dfd766cd",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,28827529295300,28827535841800,28827538414000
"dc63c77c-7f36-4278-a61f-a6435a854869",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,28827561978500,28827568420600,28827571075900
"f7c2db27-c153-4875-8c11-6a7161d043fa",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,28827587357700,28827595030200,28827597444600
"2a60dec3-5327-4b01-935d-b1ff7c502a74",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,28827611419800,28827617474700,28827619705200
"44740ed1-2124-435a-bc23-3f3f58c436c8",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,28827633712600,28827639327400,28827641519900
"c5d09398-f55d-45df-9fd4-0742d07b7a20",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,28827656476400,28827662627800,28827664764900
"f7d3e636-e728-4681-ab1f-f4483e3b9d59",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,28827679460200,28827686175300,28827688563000
"81a68f12-480f-419a-801c-dd2b00fdf99d",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,28827705000600,28827713339800,28827716263600
"9561232f-041f-47b1-a6bf-468e0c8c4a1a",GET,/images/banner.png,,,200,image/png,,,28827734188600,28827749912700,28827754571700
"c2fbbb16-abae-49b3-9f30-1a529774ea3b",GET,/images/logo.png,,,200,image/png,,,28827938673900,28827946763400,28827948727200
"13c8dae6-c0d8-438f-abec-52a4b431c3a6",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,28827964703800,28827970667900,28827972315400
"a34b4242-80d1-4e19-b090-ec011f2289b7",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,28827990163100,28827995141900,28827997067900
"4c4851e9-7c34-44d9-847f-ab58b38dfd97",GET,/images/favicon.ico,,,200,image/x-icon,,,28828012041900,28828037340400,28828039532200
"5c5f14b5-d6a7-49d2-a03f-d09698edd7a5",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"password=&remember=false&service=725&username=",,28828054137900,28828074535700,28831930181200
"35c84147-7416-428f-a216-4adcb2ecba9e",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,28831983152500,28831987915100,28831989628400
